label,auc
Atelectasis,0.7456923137534945
Cardiomegaly,0.8565280722695802
Effusion,0.8130615135601738
Infiltration,0.6854104439985806
Mass,0.7843719087348978
Nodule,0.717973826802772
Pneumonia,0.682890531218152
Pneumothorax,0.8121189509394842
Consolidation,0.7308985817902408
Edema,0.8215561108512347
Emphysema,0.8556418526192752
Fibrosis,0.7881688820547398
Pleural_Thickening,0.75036138926179
Hernia,0.8924986097563199
